H GaussMeter (Oe),Mx (emu)
-8871.307495,-1.74E-02
-8468.287475,-1.71E-02
-8061.779175,-1.67E-02
-7652.175537,-1.62E-02
-7247.018494,-1.57E-02
-6837.273316,-1.52E-02
-6420.84729,-1.46E-02
-6012.978943,-1.40E-02
-5707.577637,-1.36E-02
-5398.562622,-1.31E-02
-5090.420085,-1.26E-02
-4789.642578,-1.21E-02
-4483.415344,-1.15E-02
-4170.434082,-1.09E-02
-3852.36792,-1.03E-02
-3534.639557,-9.61E-03
-3204.450379,-8.89E-03
-2882.63327,-8.14E-03
-2668.571381,-7.66E-03
-2448.686401,-7.14E-03
-2227.447907,-6.61E-03
-2010.36734,-6.06E-03
-1786.555908,-5.50E-03
-1672.848068,-5.20E-03
-1563.52385,-4.90E-03
-1451.443481,-4.59E-03
-1335.702606,-4.27E-03
-1221.515884,-3.96E-03
-1099.977265,-3.65E-03
-983.685883,-3.31E-03
-868.885056,-2.97E-03
-769.163986,-2.65E-03
-617.567513,-2.15E-03
-422.935615,-1.53E-03
-337.937477,-1.23E-03
-240.727629,-7.80E-04
-124.205597,-4.09E-05
-3.717364,6.52E-04
113.345288,1.21E-03
224.243567,1.62E-03
340.681736,1.99E-03
450.164539,2.35E-03
565.272469,2.71E-03
787.091972,3.37E-03
1010.242905,4.01E-03
1229.424225,4.61E-03
1443.194778,5.21E-03
1657.965363,5.78E-03
1988.877121,6.60E-03
2309.707153,7.39E-03
2627.39563,8.13E-03
2938.388336,8.85E-03
3247.328797,9.50E-03
3554.718964,1.01E-02
3858.49588,1.07E-02
4158.4776,1.13E-02
4458.591797,1.19E-02
4761.17157,1.24E-02
5162.759766,1.31E-02
5578.636291,1.38E-02
5979.330627,1.44E-02
6385.290771,1.50E-02
6786.177673,1.55E-02
7179.216248,1.60E-02
7578.524048,1.64E-02
7974.832581,1.68E-02
8366.871826,1.72E-02
8753.263794,1.76E-02
9236.825317,1.80E-02
9715.566162,1.83E-02
10192.00232,1.86E-02
10666.75562,1.89E-02
11149.46826,1.91E-02
11624.71008,1.94E-02
12106.94507,1.95E-02
12559.90186,1.97E-02
13034.57568,1.99E-02
13500.75818,2.00E-02
14468.08899,2.03E-02
15398.03894,2.04E-02
16369.58997,2.06E-02
17368.43433,2.06E-02
18304.1394,2.06E-02
19185.35352,2.05E-02
20118.13428,2.01E-02
